ingredient,normalized_ingredient,food_id,food_name,food_group,food_subgroup,category,match_type
sugar free apricot jam,sugar free apricot jam,,,,,,unmatched
sugar free black cherry gelatin,sugar free black cherry gelatin,,,,,,unmatched
sugar free black cherry jell o,sugar free black cherry jell o,,,,,,unmatched
sugar free black cherry syrup,sugar free black cherry syrup,,,,,,unmatched
sugar free cafe vienna coffee powder,sugar free cafe vienna coffee powder,,,,,,unmatched
sugar free caramel syrup,sugar free caramel syrup,,,,,,unmatched
sugar free caramel topping,sugar free caramel topping,,,,,,unmatched
sugar free chai latte mix,sugar free chai latte mix,,,,,,unmatched
sugar free cheesecake pudding mix,sugar free cheesecake pudding mix,,,,,,unmatched
sugar free cherry gelatin,sugar free cherry gelatin,,,,,,unmatched
sugar free cherry pie filling,sugar free cherry pie filling,,,,,,unmatched
sugar free chocolate,sugar free chocolate,,,,,,unmatched
sugar free chocolate cake mix,sugar free chocolate cake mix,,,,,,unmatched
sugar free chocolate chips,sugar free chocolate chips,,,,,,unmatched
sugar free chocolate cream filled cookies,sugar free chocolate cream filled cookies,,,,,,unmatched
sugar free chocolate ice cream,sugar free chocolate ice cream,,,,,,unmatched
sugar free chocolate pudding mix,sugar free chocolate pudding mix,,,,,,unmatched
sugar free chocolate syrup,sugar free chocolate syrup,,,,,,unmatched
sugar free coconut syrup,sugar free coconut syrup,,,,,,unmatched
sugar free cool whip,sugar free cool whip,,,,,,unmatched
sugar free fat free butterscotch pudding,sugar free fat free butterscotch pudding,,,,,,unmatched
sugar free fat free french vanilla pudding and pie filling mix,sugar free fat free french vanilla pudding and pie filling mix,,,,,,unmatched
sugar free fat free frozen whipped topping,sugar free fat free frozen whipped topping,,,,,,unmatched
sugar free fat free instant banana cream pudding mix,sugar free fat free instant banana cream pudding mix,,,,,,unmatched
sugar free fat free instant pudding mix,sugar free fat free instant pudding mix,,,,,,unmatched
sugar free french vanilla cafe instant coffee,sugar free french vanilla cafe instant coffee,,,,,,unmatched
sugar free french vanilla powdered coffee creamer,sugar free french vanilla powdered coffee creamer,,,,,,unmatched
sugar free gelatin mix,sugar free gelatin mix,,,,,,unmatched
sugar free ginger ale,sugar free ginger ale,,,,,,unmatched
sugar free hazelnut syrup,sugar free hazelnut syrup,,,,,,unmatched
sugar free honey,sugar free honey,,,,,,unmatched
sugar free hot cocoa mix,sugar free hot cocoa mix,,,,,,unmatched
sugar free instant banana pudding mix,sugar free instant banana pudding mix,,,,,,unmatched
sugar free instant butterscotch pudding mix,sugar free instant butterscotch pudding mix,,,,,,unmatched
sugar free instant cheesecake pudding mix,sugar free instant cheesecake pudding mix,,,,,,unmatched
sugar free instant chocolate fudge pudding mix,sugar free instant chocolate fudge pudding mix,,,,,,unmatched
sugar free instant chocolate pudding mix,sugar free instant chocolate pudding mix,,,,,,unmatched
sugar free instant pistachio pudding,sugar free instant pistachio pudding,,,,,,unmatched
sugar free instant pudding mix,sugar free instant pudding mix,,,,,,unmatched
sugar free instant vanilla pudding mix,sugar free instant vanilla pudding mix,,,,,,unmatched
sugar free irish cream syrup,sugar free irish cream syrup,,,,,,unmatched
sugar free jam,sugar free jam,,,,,,unmatched
sugar free jello,sugar free jello,,,,,,unmatched
sugar free jelly,sugar free jelly,,,,,,unmatched
sugar free lemon gelatin,sugar free lemon gelatin,,,,,,unmatched
sugar free lemonade concentrate,sugar free lemonade concentrate,,,,,,unmatched
sugar free lemonade flavored drink mix,sugar free lemonade flavored drink mix,,,,,,unmatched
sugar free lime gelatin,sugar free lime gelatin,,,,,,unmatched
sugar free lime jell o gelatin,sugar free lime jell o gelatin,,,,,,unmatched
sugar free maple syrup,sugar free maple syrup,,,,,,unmatched
sugar free milk chocolate candy bars,sugar free milk chocolate candy bars,,,,,,unmatched
sugar free molasses,sugar free molasses,,,,,,unmatched
sugar free non fat vanilla yogurt,sugar free non fat vanilla yogurt,,,,,,unmatched
sugar free orange fruit spread,sugar free orange fruit spread,,,,,,unmatched
sugar free orange gelatin,sugar free orange gelatin,,,,,,unmatched
sugar free orange jello,sugar free orange jello,,,,,,unmatched
sugar free orange marmalade,sugar free orange marmalade,,,,,,unmatched
sugar free peanut butter,sugar free peanut butter,,,,,,unmatched
sugar free peanut butter syrup,sugar free peanut butter syrup,,,,,,unmatched
sugar free pie filling,sugar free pie filling,,,,,,unmatched
sugar free pistachio pudding mix,sugar free pistachio pudding mix,,,,,,unmatched
sugar free preserves,sugar free preserves,,,,,,unmatched
sugar free pudding mix,sugar free pudding mix,,,,,,unmatched
sugar free raspberry flavored syrup,sugar free raspberry flavored syrup,,,,,,unmatched
sugar free raspberry gelatin,sugar free raspberry gelatin,,,,,,unmatched
sugar free raspberry jam,sugar free raspberry jam,,,,,,unmatched
sugar free raspberry preserves,sugar free raspberry preserves,,,,,,unmatched
sugar free shortbread cookies,sugar free shortbread cookies,,,,,,unmatched
sugar free sodium free peanut butter,sugar free sodium free peanut butter,,,,,,unmatched
sugar free strawberry gelatin,sugar free strawberry gelatin,,,,,,unmatched
sugar free strawberry jam,sugar free strawberry jam,,,,,,unmatched
sugar free strawberry jell o gelatin dessert,sugar free strawberry jell o gelatin dessert,,,,,,unmatched
sugar free strawberry jelly,sugar free strawberry jelly,,,,,,unmatched
sugar free strawberry syrup,sugar free strawberry syrup,,,,,,unmatched
sugar free syrup,sugar free syrup,,,,,,unmatched
sugar free vanilla extract,sugar free vanilla extract,,,,,,unmatched
sugar free vanilla ice cream,sugar free vanilla ice cream,,,,,,unmatched
sugar free vanilla pudding,sugar free vanilla pudding,,,,,,unmatched
sugar free vanilla pudding mix,sugar free vanilla pudding mix,,,,,,unmatched
sugar free vanilla syrup,sugar free vanilla syrup,,,,,,unmatched
sugar free vanilla wafers,sugar free vanilla wafers,,,,,,unmatched
sugar free vanilla yogurt,sugar free vanilla yogurt,,,,,,unmatched
sugar free whipped topping,sugar free whipped topping,,,,,,unmatched
sugar free white chocolate pudding mix,sugar free white chocolate pudding mix,,,,,,unmatched
sugar free whole berry cranberry sauce,sugar free whole berry cranberry sauce,,,,,,unmatched
sugar free whole wheat bread,sugar free whole wheat bread,,,,,,unmatched
sugar ice cream cone,sugar ice cream cone,,,,,,unmatched
sugar ice cream cones,sugar ice cream cones,,,,,,unmatched
sugar pumpkin,sugar pumpkin,,,,,,unmatched
sugar snap pea,sugar snap pea,,,,,,unmatched
sugar snap peas,sugar snap peas,,,,,,unmatched
sugar substitute,sugar substitute,676.0,Sugar substitute,Baking goods,Substitutes,specific,exact
sugar syrup,sugar syrup,,,,,,unmatched
sugar twin,sugar twin,,,,,,unmatched
sugar water,sugar water,,,,,,unmatched
sultana,sultana,,,,,,unmatched
sultana raisin,sultana raisin,,,,,,unmatched
sultana raisins,sultana raisins,,,,,,unmatched
sultanas,sultanas,,,,,,unmatched
sumac,sumac,,,,,,unmatched
summer crisp corn,summer crisp corn,,,,,,unmatched
summer sausage,summer sausage,,,,,,unmatched
summer savory,summer savory,167.0,Summer savory,Herbs and Spices,Herbs,specific,exact
summer squash,summer squash,,,,,,unmatched
sun dried cranberries,sun dried cranberries,,,,,,unmatched
sun dried tomato,sun dried tomato,,,,,,unmatched
sun dried tomato alfredo sauce,sun dried tomato alfredo sauce,,,,,,unmatched
sun dried tomato dressing,sun dried tomato dressing,,,,,,unmatched
sun dried tomato olive basil rub,sun dried tomato olive basil rub,,,,,,unmatched
sun dried tomato olive oil,sun dried tomato olive oil,,,,,,unmatched
sun dried tomato packed in oil,sun dried tomato packed in oil,,,,,,unmatched
sun dried tomato paste,sun dried tomato paste,,,,,,unmatched
sun dried tomato pesto,sun dried tomato pesto,,,,,,unmatched
sun dried tomato polenta,sun dried tomato polenta,,,,,,unmatched
sun dried tomato puree,sun dried tomato puree,,,,,,unmatched
sun dried tomato tortillas,sun dried tomato tortillas,,,,,,unmatched
sun dried tomato vinaigrette dressing,sun dried tomato vinaigrette dressing,,,,,,unmatched
sun dried tomatoes,sun dried tomatoes,,,,,,unmatched
sun dried tomatoes packed in oil,sun dried tomatoes packed in oil,,,,,,unmatched
sun dried tomatoes packed in oil with herbs,sun dried tomatoes packed in oil with herbs,,,,,,unmatched
sundried tomato oregano salad dressing,sundried tomato oregano salad dressing,,,,,,unmatched
sunflower margarine,sunflower margarine,,,,,,unmatched
sunflower oil,sunflower oil,972.0,Sunflower oil,Herbs and Spices,Oilseed crops,,exact
sunflower seed butter,sunflower seed butter,,,,,,unmatched
sunflower seeds,sunflower seeds,,,,,,unmatched
sunny delight mango flavor orange drink,sunny delight mango flavor orange drink,,,,,,unmatched
sunny delight orange drink,sunny delight orange drink,,,,,,unmatched
superfine sugar,superfine sugar,,,,,,unmatched
supermoist yellow cake mix,supermoist yellow cake mix,,,,,,unmatched
sure jell,sure jell,,,,,,unmatched
sushi rice,sushi rice,,,,,,unmatched
swai fillets,swai fillets,,,,,,unmatched
swans down cake flour,swans down cake flour,,,,,,unmatched
swanson chicken broth,swanson chicken broth,,,,,,unmatched
swanson vegetable broth,swanson vegetable broth,,,,,,unmatched
swede,swede,28.0,Swede,Vegetables,Root vegetables,specific,exact
swedes,swedes,,,,,,unmatched
swedish mustard,swedish mustard,,,,,,unmatched
sweet and sour pickles,sweet and sour pickles,,,,,,unmatched
sweet and sour sauce,sweet and sour sauce,,,,,,unmatched
sweet and spicy barbecue sauce,sweet and spicy barbecue sauce,,,,,,unmatched
sweet apple,sweet apple,,,,,,unmatched
sweet apple cider,sweet apple cider,,,,,,unmatched
sweet apples,sweet apples,,,,,,unmatched
sweet asian chicken chili sauce,sweet asian chicken chili sauce,,,,,,unmatched
sweet baking chocolate,sweet baking chocolate,,,,,,unmatched
sweet basil,sweet basil,119.0,Sweet basil,Herbs and Spices,Herbs,specific,exact
sweet bean paste,sweet bean paste,,,,,,unmatched
sweet bell pepper,sweet bell pepper,,,,,,unmatched
sweet bell peppers,sweet bell peppers,,,,,,unmatched
sweet bread,sweet bread,,,,,,unmatched
sweet butter,butter,667.0,Butter,Milk and milk products,Other milk products,specific,manual_synonym
sweet cherries,sweet cherries,,,,,,unmatched
sweet chili sauce,sweet chili sauce,,,,,,unmatched
sweet chocolate,sweet chocolate,,,,,,unmatched
sweet corn,sweet corn,,,,,,unmatched
sweet corn relish,sweet corn relish,,,,,,unmatched
sweet cream,sweet cream,,,,,,unmatched
sweet creamy butter,sweet creamy butter,,,,,,unmatched
sweet gherkin,sweet gherkin,,,,,,unmatched
sweet green pepper,sweet green pepper,,,,,,unmatched
sweet green peppers,sweet green peppers,,,,,,unmatched
sweet hot mustard,sweet hot mustard,,,,,,unmatched
sweet hungarian paprika,sweet hungarian paprika,,,,,,unmatched
sweet italian fennel sausages,sweet italian fennel sausages,,,,,,unmatched
sweet italian sausage,sweet italian sausage,,,,,,unmatched
sweet italian sausage link,sweet italian sausage link,,,,,,unmatched
sweet italian sausage links,sweet italian sausage links,,,,,,unmatched
sweet italian turkey sausage,sweet italian turkey sausage,,,,,,unmatched
sweet marjoram,sweet marjoram,122.0,Sweet marjoram,Herbs and Spices,Herbs,specific,exact
sweet marsala wine,sweet marsala wine,,,,,,unmatched
sweet milk,sweet milk,,,,,,unmatched
sweet mustard,sweet mustard,,,,,,unmatched
sweet n low,sweet n low,,,,,,unmatched
sweet onion,onion,,,,,,unmatched
sweet onion and pepper relish,sweet onion and pepper relish,,,,,,unmatched
sweet onions,sweet onions,,,,,,unmatched
sweet oranges,sweet oranges,,,,,,unmatched
sweet paprika,sweet paprika,,,,,,unmatched
sweet peas,sweet peas,,,,,,unmatched
sweet pepper,sweet pepper,,,,,,unmatched
sweet pepper flake,sweet pepper flake,,,,,,unmatched
sweet pepper flakes,sweet pepper flakes,,,,,,unmatched
sweet peppers,sweet peppers,,,,,,unmatched
sweet pickle,sweet pickle,,,,,,unmatched
sweet pickle juice,sweet pickle juice,,,,,,unmatched
sweet pickle relish,sweet pickle relish,,,,,,unmatched
sweet pickles,sweet pickles,,,,,,unmatched
sweet pork sausage,sweet pork sausage,,,,,,unmatched
sweet potato,sweet potato,92.0,Sweet potato,Vegetables,Tubers,specific,exact
sweet potato puree,sweet potato puree,,,,,,unmatched
sweet potatoes,sweet potatoes,,,,,,unmatched
sweet potatoes in light syrup,sweet potatoes in light syrup,,,,,,unmatched
sweet potatoes in syrup,sweet potatoes in syrup,,,,,,unmatched
sweet red apples,sweet red apples,,,,,,unmatched
sweet red onion,sweet red onion,,,,,,unmatched
sweet red pepper,sweet red pepper,,,,,,unmatched
sweet red pepper relish,sweet red pepper relish,,,,,,unmatched
sweet red pepper strips,sweet red pepper strips,,,,,,unmatched
sweet red peppers,sweet red peppers,,,,,,unmatched
sweet red wine,sweet red wine,,,,,,unmatched
sweet relish,sweet relish,,,,,,unmatched
sweet rice,sweet rice,,,,,,unmatched
sweet rice flour,sweet rice flour,,,,,,unmatched
sweet sausage,sweet sausage,,,,,,unmatched
sweet sherry,sweet sherry,,,,,,unmatched
sweet smoked paprika,sweet smoked paprika,,,,,,unmatched
sweet soy sauce,sweet soy sauce,,,,,,unmatched
sweet tea flavored vodka,sweet tea flavored vodka,,,,,,unmatched
sweet unsalted butter,sweet unsalted butter,,,,,,unmatched
sweet vermouth,sweet vermouth,,,,,,unmatched
sweet white onion,sweet white onion,,,,,,unmatched
sweet white onions,sweet white onions,,,,,,unmatched
sweet white wine,sweet white wine,,,,,,unmatched
sweet whole kernel corn,sweet whole kernel corn,,,,,,unmatched
sweet wine,sweet wine,,,,,,unmatched
sweet yellow onions,sweet yellow onions,,,,,,unmatched
sweetcorn,sweetcorn,,,,,,unmatched
sweetened chestnut puree,sweetened chestnut puree,,,,,,unmatched
sweetened cocoa powder,sweetened cocoa powder,,,,,,unmatched
sweetened coconut,sweetened coconut,,,,,,unmatched
sweetened coconut milk,sweetened coconut milk,,,,,,unmatched
sweetened condensed milk,sweetened condensed milk,,,,,,unmatched
sweetened flaked coconut,sweetened flaked coconut,,,,,,unmatched
sweetened iced tea,sweetened iced tea,,,,,,unmatched
sweetened kool aid drink mix,sweetened kool aid drink mix,,,,,,unmatched
sweetened lime juice,sweetened lime juice,,,,,,unmatched
sweetened whipped cream,sweetened whipped cream,,,,,,unmatched
sweetn low brown sugar substitute,sweetn low brown sugar substitute,,,,,,unmatched
swiss almond chocolate liqueur,swiss almond chocolate liqueur,,,,,,unmatched
swiss brown mushrooms,swiss brown mushrooms,,,,,,unmatched
swiss chard,swiss chard,237.0,Swiss chard,Vegetables,Leaf vegetables,specific,exact
swiss chard leaves,swiss chard leaves,,,,,,unmatched
swiss cheese,swiss cheese,981.0,Swiss cheese,Milk and milk products,Fermented milk products,,exact
swiss miss diet cocoa mix,swiss miss diet cocoa mix,,,,,,unmatched
swiss rolls,swiss rolls,,,,,,unmatched
swordfish,swordfish,498.0,Swordfish,Aquatic foods,Fishes,specific,exact
swordfish fillets,swordfish fillets,,,,,,unmatched
swordfish steak,swordfish steak,,,,,,unmatched
swordfish steaks,swordfish steaks,,,,,,unmatched
syrian cheese,syrian cheese,,,,,,unmatched
syrup,syrup,695.0,Syrup,Baking goods,Baking goods,specific,exact
szechuan chile flakes,szechuan chile flakes,,,,,,unmatched
szechuan hot bean sauce,szechuan hot bean sauce,,,,,,unmatched
szechuan peppercorns,szechuan peppercorns,,,,,,unmatched
szechuan sauce,szechuan sauce,,,,,,unmatched
szechwan chili sauce,szechwan chili sauce,,,,,,unmatched
szechwan pepper,szechwan pepper,,,,,,unmatched
tabasco brand chipotle pepper sauce,tabasco brand chipotle pepper sauce,,,,,,unmatched
tabasco jalapeno sauce,tabasco jalapeno sauce,,,,,,unmatched
tabasco pepper,tabasco pepper,,,,,,unmatched
tabasco peppers,tabasco peppers,,,,,,unmatched
tabasco sauce,tabasco sauce,,,,,,unmatched
tabbouleh,tabbouleh,,,,,,unmatched
tabil,tabil,,,,,,unmatched
table cream,table cream,,,,,,unmatched
table salt,table salt,,,,,,unmatched
tabouli mix,tabouli mix,,,,,,unmatched
taco bell home originals taco dinner kit,taco bell home originals taco dinner kit,,,,,,unmatched
taco bell home originals thick n chunky salsa,taco bell home originals thick n chunky salsa,,,,,,unmatched
taco blend cheese,taco blend cheese,,,,,,unmatched
taco cheese,taco cheese,,,,,,unmatched
taco chips,taco chips,,,,,,unmatched
taco flavor doritos,taco flavor doritos,,,,,,unmatched
taco sauce,taco sauce,,,,,,unmatched
taco seasoned cheddar cheese,taco seasoned cheddar cheese,,,,,,unmatched
taco seasoning,taco seasoning,,,,,,unmatched
taco seasoning mix,taco seasoning mix,,,,,,unmatched
taco shell,taco shell,1023.0,Taco shell,,,,exact
taco shells,taco shells,,,,,,unmatched
tagliatelle pasta noodles,tagliatelle pasta noodles,,,,,,unmatched
tagliolini,tagliolini,,,,,,unmatched
tahini,tahini,,,,,,unmatched
tahini paste,tahini paste,,,,,,unmatched
tahini sauce,tahini sauce,,,,,,unmatched
tahini sesame butter,tahini sesame butter,,,,,,unmatched
taleggio,taleggio,,,,,,unmatched
tallow,tallow,696.0,Tallow,Fats and oils,Animal fats,specific,exact
tamale,tamale,820.0,Tamale,Dishes,Latin American cuisine,specific,exact
tamales,tamales,,,,,,unmatched
tamari,tamari,,,,,,unmatched
tamari soy sauce,tamari soy sauce,,,,,,unmatched
tamarillos,tamarillos,,,,,,unmatched
tamarind extract,tamarind extract,,,,,,unmatched
tamarind juice,tamarind juice,,,,,,unmatched
tamarind nectar,tamarind nectar,,,,,,unmatched
tamarind paste,tamarind paste,,,,,,unmatched
tamarind pod,tamarind pod,,,,,,unmatched
tamarind pods,tamarind pods,,,,,,unmatched
tamarind powder,tamarind powder,,,,,,unmatched
tamarind pulp,tamarind pulp,,,,,,unmatched
tandoori color powder,tandoori color powder,,,,,,unmatched
tandoori marinade,tandoori marinade,,,,,,unmatched
tandoori masala,tandoori masala,,,,,,unmatched
tandoori paste,tandoori paste,,,,,,unmatched
tandoori spice mix,tandoori spice mix,,,,,,unmatched
tang orange crystals,tang orange crystals,,,,,,unmatched
tangerine,tangerine,,,,,,unmatched
tangerine juice,tangerine juice,,,,,,unmatched
tangerine liqueur,tangerine liqueur,,,,,,unmatched
tangerine peel,tangerine peel,,,,,,unmatched
tangerine sherbet,tangerine sherbet,,,,,,unmatched
tangerine zest,tangerine zest,,,,,,unmatched
tangerine zest of,tangerine zest of,,,,,,unmatched
tangerines,tangerines,,,,,,unmatched
tangerines zest of,tangerines zest of,,,,,,unmatched
tanqueray london dry gin,tanqueray london dry gin,,,,,,unmatched
tap water,tap water,,,,,,unmatched
tapenade,tapenade,,,,,,unmatched
tapioca,tapioca,,,,,,unmatched
tapioca flour,tapioca flour,,,,,,unmatched
tapioca pudding,tapioca pudding,,,,,,unmatched
tapioca starch,tapioca starch,,,,,,unmatched
tapioca starch wraps,tapioca starch wraps,,,,,,unmatched
taro root,taro root,,,,,,unmatched
taro root leaves,taro root leaves,,,,,,unmatched
tarragon,tarragon,19.0,Tarragon,Herbs and Spices,Herbs,specific,exact
tarragon leaf,tarragon leaf,,,,,,unmatched
tarragon leaves,tarragon leaves,,,,,,unmatched
tarragon vinegar,tarragon vinegar,,,,,,unmatched
tart apple,tart apple,,,,,,unmatched
tart apples,tart apples,,,,,,unmatched
tart baking apples,tart baking apples,,,,,,unmatched
tart cherries,tart cherries,,,,,,unmatched
tart cooking apple,tart cooking apple,,,,,,unmatched
tart cooking apples,tart cooking apples,,,,,,unmatched
tart green apple,tart green apple,,,,,,unmatched
tart green apples,tart green apples,,,,,,unmatched
tart red cherries,tart red cherries,,,,,,unmatched
tart shell,tart shell,,,,,,unmatched
tart shells,tart shells,,,,,,unmatched
tartar sauce,tartar sauce,,,,,,unmatched
tartaric,tartaric,,,,,,unmatched
tasso,tasso,,,,,,unmatched
tasty cheese,tasty cheese,,,,,,unmatched
tater tots,tater tots,,,,,,unmatched
tatsoi,tatsoi,,,,,,unmatched
tawny port,tawny port,,,,,,unmatched
tea,tea,38.0,Tea,Teas,Teas,specific,exact
tea bag,tea bag,,,,,,unmatched
tea bags,tea bags,,,,,,unmatched
tea biscuits,tea biscuits,,,,,,unmatched
tea leaves,tea leaves,,,,,,unmatched
teddy grahams chocolate graham snacks,teddy grahams chocolate graham snacks,,,,,,unmatched
teddy grahams cinnamon graham snacks,teddy grahams cinnamon graham snacks,,,,,,unmatched
teddy grahams honey graham snacks,teddy grahams honey graham snacks,,,,,,unmatched
teff,teff,500.0,Teff,Herbs and Spices,Herbs,specific,exact
teff flour,teff flour,,,,,,unmatched
tempeh,tempeh,,,,,,unmatched
tempeh bacon,tempeh bacon,,,,,,unmatched
tempura batter,tempura batter,,,,,,unmatched
tempura dipping sauce,tempura dipping sauce,,,,,,unmatched
tempura flour,tempura flour,,,,,,unmatched
tempura mix,tempura mix,,,,,,unmatched
ten grain pancake mix,ten grain pancake mix,,,,,,unmatched
tender quick,tender quick,,,,,,unmatched
tenderloin,tenderloin,,,,,,unmatched
tequila,tequila,,,,,,unmatched
tequila rose,tequila rose,,,,,,unmatched
teriyaki baste and glaze,teriyaki baste and glaze,,,,,,unmatched
teriyaki marinade,teriyaki marinade,,,,,,unmatched
teriyaki sauce,teriyaki sauce,,,,,,unmatched
teriyaki seasoning mix,teriyaki seasoning mix,,,,,,unmatched
terra chips,terra chips,,,,,,unmatched
terrapins,terrapins,,,,,,unmatched
tex mex cheese,tex mex cheese,,,,,,unmatched
texas pete,texas pete,,,,,,unmatched
texas pete original hot sauce,texas pete original hot sauce,,,,,,unmatched
texas toast thick bread,texas toast thick bread,,,,,,unmatched
textured soy protein flakes,textured soy protein flakes,,,,,,unmatched
textured soy protein granules,textured soy protein granules,,,,,,unmatched
textured vegetable protein,textured vegetable protein,,,,,,unmatched
thai basil,thai basil,,,,,,unmatched
thai chile,thai chile,,,,,,unmatched
thai chiles,thai chiles,,,,,,unmatched
thai chili flavored tuna,thai chili flavored tuna,,,,,,unmatched
thai chili paste,thai chili paste,,,,,,unmatched
thai curry paste,thai curry paste,,,,,,unmatched
thai fish sauce,thai fish sauce,,,,,,unmatched
thai green chili,thai green chili,,,,,,unmatched
thai peppers,thai peppers,,,,,,unmatched
thai red chili pepper,thai red chili pepper,,,,,,unmatched
thai red chili peppers,thai red chili peppers,,,,,,unmatched
thai red curry paste,thai red curry paste,,,,,,unmatched
thai rice,thai rice,,,,,,unmatched
thai rice noodles,thai rice noodles,,,,,,unmatched
thai seasoning,thai seasoning,,,,,,unmatched
thai sweet chili sauce,thai sweet chili sauce,,,,,,unmatched
thai tea powder,thai tea powder,,,,,,unmatched
thick bread,thick bread,,,,,,unmatched
thick chunky salsa,thick chunky salsa,,,,,,unmatched
thick slab bacon,thick slab bacon,,,,,,unmatched
thickened cream,thickened cream,,,,,,unmatched
thin egg noodles,thin egg noodles,,,,,,unmatched
thin mint cookies,thin mint cookies,,,,,,unmatched
thin pizza crust,thin pizza crust,,,,,,unmatched
thin soy sauce,thin soy sauce,,,,,,unmatched
thin spaghetti,thin spaghetti,,,,,,unmatched
thompson seedless grapes,thompson seedless grapes,,,,,,unmatched
thousand island dressing,thousand island dressing,,,,,,unmatched
three cheese blend,three cheese blend,,,,,,unmatched
three cheese pasta sauce,three cheese pasta sauce,,,,,,unmatched
three cheese tortellini,three cheese tortellini,,,,,,unmatched
three musketeers candy bars,three musketeers candy bars,,,,,,unmatched
thyme,thyme,,,,,,unmatched
thyme honey,thyme honey,,,,,,unmatched
thyme leaves,thyme leaves,,,,,,unmatched
ti leaves,ti leaves,,,,,,unmatched
tia maria,tia maria,,,,,,unmatched
tic tac mints,tic tac mints,,,,,,unmatched
tiger sauce,tiger sauce,,,,,,unmatched
tiger shrimp,tiger shrimp,,,,,,unmatched
tikka powder,tikka powder,,,,,,unmatched
tilapia fillet,tilapia fillet,,,,,,unmatched
tilapia fillets,tilapia fillets,,,,,,unmatched
tilsiter cheese,tilsiter cheese,,,,,,unmatched
tim tam biscuits,tim tam biscuits,,,,,,unmatched
tiny new potatoes,tiny new potatoes,,,,,,unmatched
tiny pasta,tiny pasta,,,,,,unmatched
tiny peas,tiny peas,,,,,,unmatched
tiny pumpkins,tiny pumpkins,,,,,,unmatched
toast,toast,,,,,,unmatched
toast points,toast points,,,,,,unmatched
toasted almond,toasted almond,,,,,,unmatched
toasted almonds,toasted almonds,,,,,,unmatched
toasted breadcrumb,toasted breadcrumb,,,,,,unmatched
toasted breadcrumbs,toasted breadcrumbs,,,,,,unmatched
toasted coconut marshmallows,toasted coconut marshmallows,,,,,,unmatched
toasted hazelnuts,toasted hazelnuts,,,,,,unmatched
toasted oat cereal,toasted oat cereal,,,,,,unmatched
toasted rice cereal,toasted rice cereal,,,,,,unmatched
toasted sesame oil,toasted sesame oil,,,,,,unmatched
toasted sesame seeds,toasted sesame seeds,,,,,,unmatched
toasted sliced almonds,toasted sliced almonds,,,,,,unmatched
toasted wheat germ,toasted wheat germ,,,,,,unmatched
tobiko,tobiko,,,,,,unmatched
toblerone chocolate bar,toblerone chocolate bar,,,,,,unmatched
toblerone chocolate bars,toblerone chocolate bars,,,,,,unmatched
toffee pieces,toffee pieces,,,,,,unmatched
tofu,tofu,718.0,Tofu,Soy,Soy products,specific,exact
tofu mayonnaise,tofu mayonnaise,,,,,,unmatched
tofu shirataki noodles,tofu shirataki noodles,,,,,,unmatched
tofu sour cream,tofu sour cream,,,,,,unmatched
tofutti better than cream cheese,tofutti better than cream cheese,,,,,,unmatched
tofutti sour cream,tofutti sour cream,,,,,,unmatched
togarashi pepper,togarashi pepper,,,,,,unmatched
tom yum paste,tom yum paste,,,,,,unmatched
tomatillo,tomatillo,,,,,,unmatched
tomatillo salsa,tomatillo salsa,,,,,,unmatched
tomatillos,tomatillos,,,,,,unmatched
tomato and basil pasta sauce,tomato and basil pasta sauce,,,,,,unmatched
tomato and spinach rotini,tomato and spinach rotini,,,,,,unmatched
tomato bacon salad dressing,tomato bacon salad dressing,,,,,,unmatched
tomato based meat sauce,tomato based meat sauce,,,,,,unmatched
tomato basil tortilla,tomato basil tortilla,,,,,,unmatched
tomato bisque soup,tomato bisque soup,,,,,,unmatched
tomato bouillon,tomato bouillon,,,,,,unmatched
tomato bouillon with chicken flavor,tomato bouillon with chicken flavor,,,,,,unmatched
tomato bruschetta topping,tomato bruschetta topping,,,,,,unmatched
tomato chili sauce,tomato chili sauce,,,,,,unmatched
tomato chutney,tomato chutney,,,,,,unmatched
tomato cocktail juice,tomato cocktail juice,,,,,,unmatched
tomato concentrate,tomato concentrate,,,,,,unmatched
tomato jam,tomato jam,,,,,,unmatched
tomato juice,tomato juice,,,,,,unmatched
tomato ketchup,tomato ketchup,,,,,,unmatched
tomato onion soup mix,tomato onion soup mix,,,,,,unmatched
tomato paste,tomato paste,,,,,,unmatched
tomato paste with basil and garlic,tomato paste with basil and garlic,,,,,,unmatched
tomato paste with basil garlic and oregano,tomato paste with basil garlic and oregano,,,,,,unmatched
tomato paste with garlic,tomato paste with garlic,,,,,,unmatched
tomato powder,tomato powder,,,,,,unmatched
tomato puree,tomato puree,,,,,,unmatched
tomato relish,tomato relish,,,,,,unmatched
tomato sauce,tomato sauce,,,,,,unmatched
tomato sauce with basic and garlic,tomato sauce with basic and garlic,,,,,,unmatched
tomato sauce with basil garlic and oregano,tomato sauce with basil garlic and oregano,,,,,,unmatched
tomato sauce with garlic,tomato sauce with garlic,,,,,,unmatched
tomato sauce with herbs,tomato sauce with herbs,,,,,,unmatched
tomato sauce with italian seasoning,tomato sauce with italian seasoning,,,,,,unmatched
tomato sauce with onion,tomato sauce with onion,,,,,,unmatched
tomato sauce with roasted red pepper,tomato sauce with roasted red pepper,,,,,,unmatched
tomato soup,tomato soup,,,,,,unmatched
tomato soup mix,tomato soup mix,,,,,,unmatched
tomato soup with basil,tomato soup with basil,,,,,,unmatched
