compound_id,canonical_flavor,flavor_group
9288,sweet,balsamic
9288,fruit,fruity
9288,spice,spicy
29934,spice,spicy
8060,fruit,fruity
8060,sweet,balsamic
8060,pineapple,fruity
19846,nut,nutty
21183,minte,minty
21183,fruit,fruity
12861,fat,fatty
3495,green,green
3495,fruit,fruity
3495,pineapple,fruity
3495,banana,fruity
8181,woode,woody
9869,sulfur,chemical
9869,meat,meaty
9545,green,green
9545,fruit,fruity
9545,nut,nutty
9545,cheese,fatty
19948,woode,woody
19948,sweet,balsamic
9862,nut,nutty
13856,fruit,fruity
13856,floral,floral
14798,medicinal,medicinal
13961,woode,woody
9284,floral,floral
9284,fruit,fruity
15051,fruit,fruity
11846,sweet,balsamic
11846,berre,fruity
11846,jam,fruity
11846,floral,floral
15039,oile,fatty
15039,coconut,fruity
15039,butter,fatty
29857,muste,earthy
11165,sweet,balsamic
11165,nut,nutty
16856,floral,floral
16856,green,green
16856,sweet,balsamic
16856,rose,floral
20381,sulfur,chemical
20381,cabbage,vegetable
20381,vegetable,vegetable
20381,green,green
19688,nut,nutty
21458,meat,meaty
21458,sulfur,chemical
21458,nut,nutty
18012,sweet,balsamic
18012,fruit,fruity
18012,raspberre,fruity
9361,sweet,balsamic
11218,sweet,balsamic
11218,cream,fatty
13126,pear,fruity
13126,green,green
13126,fruit,fruity
13126,muste,earthy
8890,fruit,fruity
19507,fat,fatty
3347,green,green
3347,citru,citrus
16817,sweet,balsamic
16817,cream,fatty
16817,vanilla,balsamic
16817,chocolate,balsamic
29924,woode,woody
29924,floral,floral
3315,fat,fatty
8207,cheese,fatty
13072,green,green
13072,floral,floral
13072,lile,floral
3100,cheese,fatty
3100,cream,fatty
3100,fat,fatty
14724,fruit,fruity
16985,cream,fatty
16985,fruit,fruity
16985,peach,fruity
16985,plum,fruity
16985,coconut,fruity
16011,fruit,fruity
9965,pear,fruity
9965,melon,citrus
3349,melon,citrus
3349,watermelon,fruity
20008,fruit,fruity
20008,pineapple,fruity
914,caramel,balsamic
20058,floral,floral
20058,green,green
20058,muske,musky
20058,balsam,balsamic
11996,fat,fatty
16546,cabbage,vegetable
2942,fat,fatty
16164,fruit,fruity
18954,fat,fatty
18954,sweet,balsamic
18954,fruit,fruity
18954,coconut,fruity
18954,caramel,balsamic
8101,citru,citrus
8101,pineapple,fruity
8101,fruit,fruity
3486,apple,fruity
9604,sweet,balsamic
9604,spice,spicy
9604,woode,woody
3198,sweet,balsamic
3198,nut,nutty
3210,sulfur,chemical
3210,cheese,fatty
3210,vegetable,vegetable
3210,cabbage,vegetable
8242,fruit,fruity
8242,fish,fishy
16143,meat,meaty
9398,fruit,fruity
9969,spice,spicy
9969,floral,floral
8749,sweet,balsamic
8749,green,green
8749,fruit,fruity
8749,strawberre,fruity
14733,coumarin,spicy
14733,coconut,fruity
14733,nut,nutty
14733,celere,vegetable
16165,fruit,fruity
9790,sulfur,chemical
9790,fruit,fruity
8380,sulfur,chemical
8380,vegetable,vegetable
15976,woode,woody
15976,muste,earthy
15657,woode,woody
14915,minte,minty
14915,medicinal,medicinal
14915,woode,woody
15096,green,green
15096,lile,floral
17300,fruit,fruity
17300,berre,fruity
9945,minte,minty
9945,fruit,fruity
8544,sweet,balsamic
16754,violet,floral
16754,woode,woody
16754,fruit,fruity
